,country,description,designation,points,price,province,region_1,title,variety,winery,millesime,Alsace,Beaujolais,Burgundy,Champagne,France Other,Languedoc-Roussillon,Loire Valley,Southwest France
13707,France,"This is a blend of grapes from a number of Premier Cru parcels. It gives a rich, ripe and fruity wine with a good depth of flavor and strong signs of the wood aging. At this stage, the wood is leaving some bitterness and toast, but this will round out. Drink from 2021.",Premier Cru,89,55.0,Burgundy,Meursault,Manuel Olivier 2018 Premier Cru  (Meursault),Chardonnay,Manuel Olivier,2018,0,0,1,0,0,0,0,0
13714,France,"Weight and a rich character bring out caramel and apricot fruits as well as a crisp citrus core. It's warm, round and ripe, and still fresh while full in the mouth. Age this very drinkable wine until 2019.",Vosgros Premier Cru,89,35.0,Burgundy,Chablis,Domaine Ellevin 2018 Vosgros Premier Cru  (Chablis),Chardonnay,Domaine Ellevin,2018,0,0,1,0,0,0,0,0
13724,France,"From old vines, this concentrated and ripe Chablis has rich red apple and pear flavors that are gently cut with a citrus element. Dense texture gives this wine great quality and structure. Drink from 2019.",Les Vénérables Vieilles Vignes,89,32.0,Burgundy,Chablis,La Chablisienne 2017 Les Vénérables Vieilles Vignes  (Chablis),Chardonnay,La Chablisienne,2017,0,0,1,0,0,0,0,0
13812,France,"This is a beautifully aromatic wine with toast and yellow fruits mingling easily together. It is ripe while also light to taste, a crisp burst of acidity giving the wine a fine lift. Yellow fruits, citrus and toast play together in this attractive wine that is ready to drink.",Oncle Vincent,90,29.0,Burgundy,Bourgogne,Olivier Leflaive 2020 Oncle Vincent  (Bourgogne),Chardonnay,Olivier Leflaive,2020,0,0,1,0,0,0,0,0
13814,France,"The wine is soft and rounded. With creamed apple and pear flavors over touches of wood, it is a toasty wine in a generous style that has made Meursault popular for many years. Fruity and ripe, the wine will be ready to drink from 2022.",Vieilles Vignes,90,41.0,Burgundy,Meursault,Roche de Bellene 2020 Vieilles Vignes  (Meursault),Chardonnay,Roche de Bellene,2020,0,0,1,0,0,0,0,0
13815,France,"This is a rich smooth wine, full of delicious citrus and apple-fruit flavors. It is ripe, still with signs of wood aging that add a juicy character to the wine. It is developing well and should be ready to drink from 2022.",Champlots Premier Cru,90,45.0,Burgundy,Saint-Aubin,Roux Père et Fils 2020 Champlots Premier Cru  (Saint-Aubin),Chardonnay,Roux Père et Fils,2020,0,0,1,0,0,0,0,0
13818,France,"This is a ripe mango and pineapple flavored wine. It is rich, generous and with a fine balance between acidity and the bold fruitiness. It is young and fruity, ready to drink although it will be even better from 2022.",Cuvée Jean-Jacques de Boissieu,90,33.0,Burgundy,Pouilly-Fuissé,Château de Lavernette 2020 Cuvée Jean-Jacques de Boissieu  (Pouilly-Fuissé),Chardonnay,Château de Lavernette,2020,0,0,1,0,0,0,0,0
13826,France,"This comes from vines in Chichée on the warm right bank of the Serein River. It is a ripe wine, full of rich apricot and lime fruits and a straight line of acidity that gives the Chablis a crisp texture. The aftertaste is lively and the wine is ready to drink.",,90,24.0,Burgundy,Chablis,Domaine Gueguen 2021  Chablis,Chardonnay,Domaine Gueguen,2021,0,0,1,0,0,0,0,0
13888,France,"The most serious of the Chablis Grand Crus has produced here a wine that combines that firmer nature with generous yellow fruits, toast and tender acidity. A strong sense of structure partners with a steely core and mineral texture that firms up the fruit and promises aging. Drink from 2021.",Les Clos Grand Cru,94,66.0,Burgundy,Chablis,La Chablisienne 2017 Les Clos Grand Cru  (Chablis),Chardonnay,La Chablisienne,2017,0,0,1,0,0,0,0,0
13889,France,"Impressively rich, this is smooth, dense and opulent in its concentration. It's full both of fresh acidity and toasty rich flavors that fill the mouth. The background is the steely texture that gives the wine a fine bite at this young stage. Drink from 2023.",Les Preuses Grand Cru,94,66.0,Burgundy,Chablis,La Chablisienne 2017 Les Preuses Grand Cru  (Chablis),Chardonnay,La Chablisienne,2017,0,0,1,0,0,0,0,0
13890,France,"Already beautiful, this comes from an estate that's managed by Louis Jadot in Puligny-Montrachet, always producing fine wines. It's smooth and toasty, although it is already showing ripe yellow fruits and fragrant acidity. Although drinkable now, it really needs to age, so keep until 2022.",Domaine Duc de Magenta Clos de la Garenne Premier Cru,94,86.0,Burgundy,Puligny-Montrachet,Louis Jadot 2018 Domaine Duc de Magenta Clos de la Garenne Premier Cru  (Puligny-Montrachet),Chardonnay,Louis Jadot,2018,0,0,1,0,0,0,0,0
13892,France,"Combining richness and structure, this is a beautifully ripe wine. The wood aging is still showing strongly, although there is already opulent competition with the apricot and peach fruits that are cut with orange zest acidity. A strongly textured charactergives the wine an impressive shape and long-term aging. Drink from 2023.",Clos Saint-Marc Premier Cru,94,75.0,Burgundy,Chassagne-Montrachet,Olivier Leflaive 2018 Clos Saint-Marc Premier Cru  (Chassagne-Montrachet),Chardonnay,Olivier Leflaive,2018,0,0,1,0,0,0,0,0
13893,France,"The wood is still very present in this young wine, giving acidity and creamy, toasty character. The wine, as it develops, will become ripe, full of yellow fruits and honey while always keeping that great acidity. Since it needs to age, drink from 2022.",Genevrières Premier Cru,94,96.0,Burgundy,Meursault,Olivier Leflaive 2018 Genevrières Premier Cru  (Meursault),Chardonnay,Olivier Leflaive,2018,0,0,1,0,0,0,0,0
13894,France,"Intense fruit shines through the toast and youthful acidity of this opulent wine. A generous structure will develop in concentration, bringing out the rich apricot and pear flavors. This is a grand wine, waiting to age. Drink from 2022.",Les Pucelles Premier Cru,94,105.0,Burgundy,Puligny-Montrachet,Olivier Leflaive 2018 Les Pucelles Premier Cru  (Puligny-Montrachet),Chardonnay,Olivier Leflaive,2018,0,0,1,0,0,0,0,0
13898,France,"The wine has so much structure and tension. It is wound up and tight, full of acidity as well as the potential for rich fruits. A steely texture powers up the concentration of this wine, which has a strongly toasty component at this stage. Drink from 2022.",Abbaye de Morgeot Premier Cru,93,79.0,Burgundy,Chassagne-Montrachet,Olivier Leflaive 2018 Abbaye de Morgeot Premier Cru  (Chassagne-Montrachet),Chardonnay,Olivier Leflaive,2018,0,0,1,0,0,0,0,0
13899,France,"Juicy acidity cuts through this firmly structured, mineral wine. Great swathes of fresh citrus and ripe apricots go with the toastiness and dense texture. This is a very terroir-driven wine with a long future. Drink from 2022.",Les Folatières Premier Cru,93,102.0,Burgundy,Puligny-Montrachet,Olivier Leflaive 2018 Les Folatières Premier Cru  (Puligny-Montrachet),Chardonnay,Olivier Leflaive,2018,0,0,1,0,0,0,0,0
13902,France,"Rich and dense, this is full of ripe apple and lemon juice flavors. It's supercharged with acidity that shoots right through the fruitiness and gives a tight, crisp character. Delicious now, but it will be better in 2020.",Vaillons Premier Cru,93,40.0,Burgundy,Chablis,Simonnet-Febvre 2018 Vaillons Premier Cru  (Chablis),Chardonnay,Simonnet-Febvre,2018,0,0,1,0,0,0,0,0
13914,France,"Finely rounded wine, smoky wood and spice combining well with ripe yellow fruits. The acidity is rather underplayed, but all the other elements are well in place. The aftertaste shows more ripe fruit character.",Domaine des Deux Roches Vieilles Vignes,89,40.0,Burgundy,Saint-Véran,Collovray et Terrier 2013 Domaine des Deux Roches Vieilles Vignes  (Saint-Véran),Chardonnay,Collovray et Terrier,2013,0,0,1,0,0,0,0,0
13915,France,"Soft, with wood and honey flavors, white flower aromas and light acidity. The wine feels warm, rich and balanced.",Sur la Roche,89,36.0,Burgundy,Pouilly-Fuissé,Domaine Barraud 2014 Sur la Roche  (Pouilly-Fuissé),Chardonnay,Domaine Barraud,2014,0,0,1,0,0,0,0,0
13916,France,"From a vineyard just to the north of the line of Meursault premier crus, this is a fresh, crisp wine, very citrusy, with a strong element of spice and grapefruit. The fruitiness is tamed by some wood aging.",Les Grand Charrons,89,53.0,Burgundy,Meursault,Domaine Michel Bouzereau 2014 Les Grand Charrons  (Meursault),Chardonnay,Domaine Michel Bouzereau,2014,0,0,1,0,0,0,0,0
13917,France,"A soft, rounded wine, feeling generous, even opulent. The acidity is there, fitting into the folds of the rich texture.",,89,38.0,Burgundy,Pouilly-Fuissé,Dominique Cornin 2014  Pouilly-Fuissé,Chardonnay,Dominique Cornin,2014,0,0,1,0,0,0,0,0
13922,France,"Big, bold wine, ripe fruits pushed forward by wood, some spice, rich in character. This is lush Chardonnay, but with a good mineral edge.",Genievres,89,27.0,Burgundy,Mâcon-Lugny,Louis Latour 2014 Genievres  (Mâcon-Lugny),Chardonnay,Louis Latour,2014,0,0,1,0,0,0,0,0
14060,France,"Not to be confused with wines from the vineyard of the same name in neighboring Pernand-Verglesses, this balanced wine shows ripe tropical fruits as well as toasted wood flavors. It is structured and still developing its rich potential. Drink from 2021.",Aux Vergelesses Premier Cru,92,45.0,Burgundy,Savigny-lès-Beaune,Domaine Dublère 2017 Aux Vergelesses Premier Cru  (Savigny-lès-Beaune),Chardonnay,Domaine Dublère,2017,0,0,1,0,0,0,0,0
14066,France,"From 70-year-old vines, with a low yield of tiny berries, this is a very textured, concentrated wine with a tight and mineral character. Melon and pear are shot through with intense citrus and wood flavors. It's a wine with structure, needing to age. Drink from 2021.",Clos de Cromin,92,52.0,Burgundy,Meursault,Alex Gambal 2017 Clos de Cromin  (Meursault),Chardonnay,Alex Gambal,2017,0,0,1,0,0,0,0,0
14249,France,"The small village of Auxey-Duresses is well known for its attractive, cool and fruity whites. This bottling is only lightly oaked, showing plenty of fine acidity and a crisp, clean texture. Not a wine for aging, drink now for its tangy character and bright aftertaste.",,88,26.0,Burgundy,Auxey-Duresses,Labouré-Roi 2021  Auxey-Duresses,Chardonnay,Labouré-Roi,2021,0,0,1,0,0,0,0,0
14265,France,"This wine from the southern Mâcon appellation is crisp with a mineral edge as well as the ripe fruit of the vintage. It has a tangy, lemon-like texture that gives it a lift, adding to the fresh, fruity aftertaste. Drink now.",,88,19.0,Burgundy,Saint-Véran,Vignerons des Terres Secrètes 2021  Saint-Véran,Chardonnay,Vignerons des Terres Secrètes,2021,0,0,1,0,0,0,0,0
14284,France,"The cool Côte de Lechet, facing north, produces a classically steely Chablis. This is still young, very tight and nervy, its acidity prominent even though the texture is ripe. Aging will bring balance between the crisp character and the richer green and white fruits. Drink from 2022.",Côte de Lechet Premier Cru,91,35.0,Burgundy,Chablis,La Chablisienne 2018 Côte de Lechet Premier Cru  (Chablis),Chardonnay,La Chablisienne,2018,0,0,1,0,0,0,0,0
14596,France,"This is a blend of fruit from the Montagne de Reims and the Côte des Blancs. The result is a wine that is now showing maturity while not completely losing the apricot and pineapple-flavored fruits. A taut mineral texture lies behind the richness, suggesting that this wine will age further. Ideally drink from 2022.",Exception Blanche Brut,94,106.0,Champagne,Champagne,Mailly Grand Cru 2010 Exception Blanche Brut Chardonnay (Champagne),Chardonnay,Mailly Grand Cru,2010,0,0,0,1,0,0,0,0
14608,France,"This latest Blanc de Blancs vintage from Roederer is well poised and balanced, already offering a hint of toast, while the minerality is prominent. It is in a dry style, relying on the ripe fruit to soften the impact of the acidity. A beautiful wine, ready to drink.",Blanc de Blancs Brut,94,78.0,Champagne,Champagne,Louis Roederer 2016 Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Louis Roederer,2016,0,0,0,1,0,0,0,0
14649,France,"Produced from 100-year-old vines, this wine has been aged for nearly three years and has lost its intense fruitiness. Wood and spice flavors are present along with a perfumed intensity and toastiness. Drink this wine now.",Aux Bouthières,92,35.0,Burgundy,Pouilly-Fuissé,Domaine Pascal et Mireille Renaud 2020 Aux Bouthières  (Pouilly-Fuissé),Chardonnay,Domaine Pascal et Mireille Renaud,2020,0,0,1,0,0,0,0,0
14668,France,"Ripe tropical fruits star in this opulent, bold wine. The acidity is there, just enough to give this rich wine the support it needs. It is a complete wine—ripe and spicy, just give it some more time. Drink from 2022.",Le Clos,92,35.0,Burgundy,Pouilly-Fuissé,Domaine Ferret 2021 Le Clos  (Pouilly-Fuissé),Chardonnay,Domaine Ferret,2021,0,0,1,0,0,0,0,0
14669,France,"Fresh fruit aromas are a delicious part of this crisp, fruity wine. It is well balanced, with lively acidity sharing the stage with the ripe pear and pineapple flavors. It's ready to drink now.",,92,31.0,Burgundy,Pouilly-Fuissé,Domaine Ferret 2021  Pouilly-Fuissé,Chardonnay,Domaine Ferret,2021,0,0,1,0,0,0,0,0
14734,France,"The bouquet is mildly intense, with soft pear and delicate apple skin as the only distinguishable elements. More apple and bitter citrus appear in the mouth, with almost a hoppy character developing on the finish. Drink now.",,85,17.0,Languedoc-Roussillon,Vin de Pays d'Oc,Domaines Paul Mas 2015 Chardonnay (Vin de Pays d'Oc),Chardonnay,Domaines Paul Mas,2015,0,0,0,0,0,1,0,0
14764,France,"Daughter of Roger Belland, Julie has taken over and changed the name of this estate. Based in Santenay, they also have vines in other appellations. This wine, for instance, is rich and structured with just the right amount of wood aging. It has vanilla, spice and great acidity from the citrus and apple fruits. The wine is still young and will be best from 2022.",Morgeot Premier Cru,93,52.0,Burgundy,Chassagne-Montrachet,Domaine Julie Belland 2020 Morgeot Premier Cru  (Chassagne-Montrachet),Chardonnay,Domaine Julie Belland,2020,0,0,1,0,0,0,0,0
14781,France,Lemon-jelly aromas give this a strange character. The fruit reflects the same artificial flavor. It is hard to see where it is going.,Vieilles Vignes,82,10.0,Burgundy,Saint-Véran,Pierre Chardigny 2021 Vieilles Vignes  (Saint-Véran),Chardonnay,Pierre Chardigny,2021,0,0,1,0,0,0,0,0
14945,France,"There is plenty of wood here, quite a dominant feature. The fruit comes behind, showing bright ripe white fruits and a hint of apricot. The wood spice, though, has the last word.",,88,58.0,Burgundy,Auxey-Duresses,Morey-Blanc 2013  Auxey-Duresses,Chardonnay,Morey-Blanc,2013,0,0,1,0,0,0,0,0
15012,France,"Recognized for its good value, Saint-Romain is particularly strong on white wines. This wine, from old vines, shows some concentration and rich fruits that are balanced by toast flavors. It is a ripe wine with a strongly refreshing feel at the end.",Vieilles Vignes,89,43.0,Burgundy,Saint-Romain,Domaine de Bellene 2017 Vieilles Vignes  (Saint-Romain),Chardonnay,Domaine de Bellene,2017,0,0,1,0,0,0,0,0
15013,France,"This is a ripe wine, full of apple and apricot fruit with a strong citrus line. A touch of minerality adds tangy texture and gives this rich wine plenty of life and freshness. Drink from 2019.",Les Vieilles Vignes,89,33.0,Burgundy,Pouilly-Fuissé,Domaine Vincent Girardin 2017 Les Vieilles Vignes  (Pouilly-Fuissé),Chardonnay,Domaine Vincent Girardin,2017,0,0,1,0,0,0,0,0
15143,France,"Ripe, soft, with just the right amount of fresh acidity. The wine has a bright texture, crispness, rounded out by pear flavors, topped with cream.",Vieilles Vignes,90,47.0,Burgundy,Pouilly-Fuissé,Château Vitallis 2014 Vieilles Vignes  (Pouilly-Fuissé),Chardonnay,Château Vitallis,2014,0,0,1,0,0,0,0,0
15154,France,"Good wood, spice, ripe plum juice and balanced acidity. This is a wine with potential, balanced and rich.",Vieilles Vignes,90,37.0,Burgundy,Pouilly-Fuissé,Pierre Vessigaud 2014 Vieilles Vignes  (Pouilly-Fuissé),Chardonnay,Pierre Vessigaud,2014,0,0,1,0,0,0,0,0
15280,France,"Delamotte, the sister house of the legendary Salon, is based in the Côte des Blancs so it has plenty of experience with Chardonnay. This crisp, fruity and lightly toasty wine shows well-balanced freshness and poise. Drink now.",Blanc de Blancs Brut,92,111.0,Champagne,Champagne,Delamotte 2013 Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Delamotte,2013,0,0,0,1,0,0,0,0
15370,France,"Rich and rounded, it's full of ripe yellow fruits cut through with fresh acidity. Broad and well-balanced, it's ready to drink, but will be better at the end of 2018.",,89,29.0,Burgundy,Mâcon La Roche Vineuse,Domaine Perraud 2018  Mâcon La Roche Vineuse,Chardonnay,Domaine Perraud,2018,0,0,1,0,0,0,0,0
15447,France,"This is beautifully rich and powerful, with tropical fruit flavors and a hint of wood. It has enormous concentration of sweet, ripe white and yellow fruits, balanced by the sharp cut of acidity.",Valmur Grand Cru,94,61.0,Burgundy,Chablis,Domaine Jean-Paul et Benoît Droin 2016 Valmur Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin,2016,0,0,1,0,0,0,0,0
15448,France,"Perfumed, floral and ageworthy, this combines a taut texture with a toast note, showing great depth of flavor. The line of pure green and white fruit is very apparent. On the finish, bright acidity matches the great fruitiness.",Les Folatières Premier Cru,94,74.0,Burgundy,Puligny-Montrachet,Domaine Vincent Girardin 2016 Les Folatières Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Vincent Girardin,2016,0,0,1,0,0,0,0,0
15452,France,"The vines here have produced a 2013 that is hugely ripe, rounded and concentrated. With its sweet wood and vanilla flavors, with balancing apple and apricot fruits, it's a wine for pleasure soon, but it will also age.",Château Grenouilles Grand Cru,94,86.0,Burgundy,Chablis,La Chablisienne 2015 Château Grenouilles Grand Cru  (Chablis),Chardonnay,La Chablisienne,2015,0,0,1,0,0,0,0,0
15463,France,"Firm and closed, this shows both richness and minerality. It has hidden power, concentration and a steely edge. It's crisp and densely packed with minerality and ripeness. For aging over at least seven years.",Grenouilles Grand Cru,94,68.0,Burgundy,Chablis,Domaine Jean-Paul et Benoît Droin 2016 Grenouilles Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin,2016,0,0,1,0,0,0,0,0
15467,France,"From this rich vintage comes this delicious, open wine. Flavors of tropical fruit and peach create an opulent and generous feel, with notes from having aged in wood offering complexity. It's concentrated and ageworthy, worth keeping for 4–5 years and more.",Les Preuses Grand Cru,93,70.0,Burgundy,Chablis,La Chablisienne 2015 Les Preuses Grand Cru  (Chablis),Chardonnay,La Chablisienne,2015,0,0,1,0,0,0,0,0
15594,France,"More toast than fruit even at this young stage, this is a ripe wine, showing big woody, toasty flavors that leave freshness behind. There are flavors of cream, caramel and wood here. Acidity appears on the finish.",Tsarine Grand Cru Blanc de Blancs,87,92.0,Champagne,Champagne,Chanoine 2009 Tsarine Grand Cru Blanc de Blancs Chardonnay (Champagne),Chardonnay,Chanoine,2009,0,0,0,1,0,0,0,0
15689,France,Fresh apples and ripe pears give this wine its fruity character. The acidity behind this fruit is already in balance. It's a young Chardonnay that needs a while to fill out. Drink from 2020.,,86,18.0,Beaujolais,Beaujolais Blanc,Domaine des Nugues 2020  Beaujolais Blanc,Chardonnay,Domaine des Nugues,2020,0,1,0,0,0,0,0,0
15733,France,"This soft wine is ripe and creamy. With fruit mainly from the southern Burgundy, it offers warm apricot and spice flavors. As a contrast, the zesty texture adds a crisp aftertaste. Drink now.",Domaine des Terreaux,87,17.0,Burgundy,Bourgogne,Boutinot 2021 Domaine des Terreaux  (Bourgogne),Chardonnay,Boutinot,2021,0,0,1,0,0,0,0,0
15736,France,Ripe tropical fruits permeate this ready-to-drink wine. Pineapple and mango flavors have just enough acidity to keep this generous wine crisp. Drink now.,Cuvée Jean-Jacques de Boissieu,87,26.0,Burgundy,Pouilly-Fuissé,Château de Lavernette 2021 Cuvée Jean-Jacques de Boissieu  (Pouilly-Fuissé),Chardonnay,Château de Lavernette,2021,0,0,1,0,0,0,0,0
15741,France,"Tight and nervy, this wine is still finding its future. White fruits under the mineral texture promise an attractive wine with a rich backdrop of citrus in the next months. Drink from 2022.",,87,16.0,Burgundy,Mâcon-Uchizy,Raphael Sallet 2022  Mâcon-Uchizy,Chardonnay,Raphael Sallet,2022,0,0,1,0,0,0,0,0
15754,France,"Apricot and peach fruits dominate this creamy, soft wine. It's smooth, lightly toasty and ready to drink.",Collection,87,28.0,Burgundy,Pouilly-Fuissé,L. Tramier & Fils 2021 Collection  (Pouilly-Fuissé),Chardonnay,L. Tramier & Fils,2021,0,0,1,0,0,0,0,0
15829,France,"A fruity wine, it also has some structure. Ripe yellow and pineapple fruit flavors are laced with acidity, an apple skin texture and lemon zest. It feels rich and generous, a wine to age for a couple of years.",Hommage à André Trénel,88,28.0,Burgundy,Saint-Véran,Trenel Fils 2018 Hommage à André Trénel  (Saint-Véran),Chardonnay,Trenel Fils,2018,0,0,1,0,0,0,0,0
15855,France,"Big and rich, this is a broad, open version of Corton-Charlemagne, a powerhouse of ripe white and yellow fruits. It seems initially without enough depth, a product of its youth, then gradually the ripe structure shows through, promising aging over 6–7 years.",,94,195.0,Burgundy,Corton-Charlemagne,Jean-Luc and Paul Aegerter 2017  Corton-Charlemagne,Chardonnay,Jean-Luc and Paul Aegerter,2017,0,0,1,0,0,0,0,0
16108,France,"Serious, concentrated fruit and structure on this grand cru Chablis. White fruits, laced with lime and rounded with some toast, all contribute to a powerful, complex wine.",Les Clos,92,84.0,Burgundy,Chablis,Chanson Père et Fils 2014 Les Clos  (Chablis),Chardonnay,Chanson Père et Fils,2014,0,0,1,0,0,0,0,0
16157,France,"Aromas of this wine show considerable wood. On the palate, the wood is very present, giving acidity as well as layers of toast and spice. Hints of yellow fruit show through, suggesting the possibility of a ripe, rich wine in the future. Drink from 2023.",Bastion Premier Cru,90,43.0,Burgundy,Beaune,Chanson Père et Fils 2019 Bastion Premier Cru  (Beaune),Chardonnay,Chanson Père et Fils,2019,0,0,1,0,0,0,0,0
16257,France,"Ripe and rich, this offers layers of yellow fruits over a crisper, more steely texture. From one of the largest vineyards in Montagny, this concentrated wine needs time to develop. Drink from 2022.",Les Coères Premier Cru,90,29.0,Burgundy,Montagny,Domaine Feuillat-Juillot 2019 Les Coères Premier Cru  (Montagny),Chardonnay,Domaine Feuillat-Juillot,2019,0,0,1,0,0,0,0,0
16258,France,"From mainly clay soil, this is a rich and rounded wine. It starts soft and generous; the structure, intense fruits and acidity only slowly come through. It's smooth, rich and concentrated, ready to drink from 2020.",Ancestral,90,29.0,Burgundy,Pouilly-Fuissé,Domaine Sangouard-Guyot 2019 Ancestral  (Pouilly-Fuissé),Chardonnay,Domaine Sangouard-Guyot,2019,0,0,1,0,0,0,0,0
16303,France,"Classic Meursault, big and bold with a rounded texture. That said, the wine does have a crisp edge of green apples to balance the spiced toast, which is very evident at this stage.",,87,57.0,Burgundy,Meursault,Chanson Père et Fils 2014  Meursault,Chardonnay,Chanson Père et Fils,2014,0,0,1,0,0,0,0,0
16308,France,"Soft and warm, with toast and butter adding richness to the white peach and green plum fruits. The acidity and texture are very evident, giving this wine a certain nervous energy.",,87,27.0,Burgundy,Rully,Joseph Drouhin 2014  Rully,Chardonnay,Joseph Drouhin,2014,0,0,1,0,0,0,0,0
16350,France,"This has a delicate citrus character and a tangy, minerally texture. The ripe fruits are balanced by acidity.",Les Champlains,89,32.0,Burgundy,Bourgogne,Simon Bize 2016 Les Champlains  (Bourgogne),Chardonnay,Simon Bize,2016,0,0,1,0,0,0,0,0
16358,France,"Round and fruity in character, this has initial freshness and ripe yellow-fruit flavors. On the finish, there is a tang of orange zest.",Climat la Roche,88,32.0,Burgundy,Mâcon,Bret Brothers 2016 Climat la Roche  (Mâcon),Chardonnay,Bret Brothers,2016,0,0,1,0,0,0,0,0
16655,France,"While the wine is fresh, it also has a bitter, cheesy character that is more funky than fruity. The acidity is very present, giving a crisp edge. Drink now.",Les Pays de Pierres Dorées,83,11.0,Beaujolais,Beaujolais Blanc,Domaine Pral 2020 Les Pays de Pierres Dorées  (Beaujolais Blanc),Chardonnay,Domaine Pral,2020,0,1,0,0,0,0,0,0
16679,France,"This earthy Chardonnay from a limestone plot has more to do with texture and tight acidity than fruit. It presents a sharp, too-crisp edge.",La Réserve d'Amélie,82,10.0,Beaujolais,Beaujolais-Villages,Gérard Charvet 2020 La Réserve d'Amélie  (Beaujolais-Villages),Chardonnay,Gérard Charvet,2020,0,1,0,0,0,0,0,0
16736,France,"This simple wine is full of fruit. There is no wood aging here, just ripe pear and apricot flavors that are gently textured. The wine, with its crisp final acidity, is ready to drink.",Les Plants Nobles,85,12.0,France Other,Vin de France,Ropiteau 2021 Les Plants Nobles Chardonnay (Vin de France),Chardonnay,Ropiteau,2021,0,0,0,0,1,0,0,0
16737,France,"Off dry in character, this wine is ripe, soft and with a buttery flavor. Green plums and apricots combine to give a wine that is round in texture with a tang of citrus at the end.",Marquis de Brim,85,13.0,France Other,Vin de France,L. Tramier & Fils 2021 Marquis de Brim Chardonnay (Vin de France),Chardonnay,L. Tramier & Fils,2021,0,0,0,0,1,0,0,0
16754,France,"This is a soft wine from a major Rhône valley producer. Attractive acidity gives it a crisp, bright feel. Tangy citrus and clean, light fruitiness are all there, balanced and ready to drink. Drink now.",La Châsse,85,12.0,France Other,Vin de France,Gabriel Meffre 2021 La Châsse Chardonnay (Vin de France),Chardonnay,Gabriel Meffre,2021,0,0,0,0,1,0,0,0
16897,France,"A soft, rich wine with delicious flavors of pear and red apples, lifted by pineapple acidity. It is ripe, but still young, with touches of yeast and almond. It will age well over the medium-term.",Blanc de Blancs Brut Millesimé,90,83.0,Champagne,Champagne,Duval-Leroy 2011 Blanc de Blancs Brut Millesimé Chardonnay (Champagne),Chardonnay,Duval-Leroy,2011,0,0,0,1,0,0,0,0
17018,France,"Rich and rounded with a creamy texture, this wine is ripe with apricots and has a strongly mineral character. Full of fruit, the wine also has a texture that means it needs to age. Drink from 2021.",Morgeot Premier Cru,93,50.0,Burgundy,Chassagne-Montrachet,Louis Latour 2021 Morgeot Premier Cru  (Chassagne-Montrachet),Chardonnay,Louis Latour,2021,0,0,1,0,0,0,0,0
17035,France,"This is a cool wine, with acidity and citrus fruits well in evidence. It comes from one of the higher premier-cru vineyards, giving a crisp and textured wine even in this warm vintage. It needs time. Drink from 2024.",Goutte d'Or Premier Cru,93,50.0,Burgundy,Meursault,Louis Latour 2021 Goutte d'Or Premier Cru  (Meursault),Chardonnay,Louis Latour,2021,0,0,1,0,0,0,0,0
17036,France,"This crisp wine comes from one of upper vineyards of the village. It is packed with apples and citrus, plus a touch of toast. With lively acidity, this wine will age well. Drink from 2021.",La Grande Montagne Premier Cru,93,50.0,Burgundy,Chassagne-Montrachet,Louis Latour 2021 La Grande Montagne Premier Cru  (Chassagne-Montrachet),Chardonnay,Louis Latour,2021,0,0,1,0,0,0,0,0
17038,France,"This young, textured wine shows a mix of strong minerality and ripe white fruits. The Albert Bichot Chablis domaine has a fine parcel from this premier cru. Refreshing citrus and tight acidity contrast with the warmer vanilla and yellow fruits. Drink from 2021.",Domaine Long-Depaquit Les Vaillons Premier Cru,93,36.0,Burgundy,Chablis,Albert Bichot 2021 Domaine Long-Depaquit Les Vaillons Premier Cru  (Chablis),Chardonnay,Albert Bichot,2021,0,0,1,0,0,0,0,0
17169,France,"Powerful wine, structured with apple skin tannins, layers of ripe, spicy toast and a taut, mineral character. There is something of the Meursault richness here, in the full white fruit flavors, but this is also a wine that needs to age.",Les Tessons,91,106.0,Burgundy,Meursault,Pierre Morey 2011 Les Tessons  (Meursault),Chardonnay,Pierre Morey,2011,0,0,1,0,0,0,0,0
17173,France,"Grapefruit, toast and white peach aromas give this wine a great start. It is not powerful but is deliciously balanced with fresh green plum and pink grapefruit flavors rounded out with just the perfect amount of wood. Drink 2014.",Premier Cru,91,64.0,Burgundy,Saint-Aubin,Morey-Blanc 2011 Premier Cru  (Saint-Aubin),Chardonnay,Morey-Blanc,2011,0,0,1,0,0,0,0,0
17226,France,"This is a new wine from this negociant house that specializes in limited production wines. It is a smooth and rounded wine, ripe with apples and yellow fruits as well as being cut with acidity. The wine is refreshing and crisp at the end with a touch of minerality.",,87,22.0,Burgundy,Saint-Véran,Roche de Bellene 2020  Saint-Véran,Chardonnay,Roche de Bellene,2020,0,0,1,0,0,0,0,0
17255,France,"Fresh and bright, dominated by its citrus and almond flavors. It has a soft, creamy texture, with highlights of orange zest, green plums and a great burst of acidity.",,88,25.0,Burgundy,Mâcon-Lugny,Louis Jadot 2014  Mâcon-Lugny,Chardonnay,Louis Jadot,2014,0,0,1,0,0,0,0,0
